tag,target,model,n_features,base_rate,roc_auc,roc_auc_ci,precision_at_500,precision_at_500_ci,pr_auc,train_rows
refactor_growthfix,lending,logistic,41,0.0027111421804875,0.8615083643920712,"[0.8569, 0.8664]",0.1500000059604644,"[0.120, 0.182]",0.0403243422208818,214708
refactor_growthfix,lending,mlp,41,0.0027111421804875,0.8672150614910281,"[0.8627, 0.8718]",0.2660000026226043,"[0.226, 0.308]",0.0514800826329265,214708
refactor_growthfix,insolvency,lightgbm,41,0.0032939848024398,0.761519999902756,"[0.7572, 0.7664]",0.1220000013709068,"[0.096, 0.152]",0.016922649690566,165674
refactor_growthfix,insolvency,logistic,41,0.0032939848024398,0.7323762884527214,"[0.7279, 0.7366]",0.0579999983310699,"[0.036, 0.078]",0.0118525341988254,165674
refactor_growthfix,insolvency,mlp,41,0.0032939848024398,0.7437038656160182,"[0.7392, 0.7478]",0.0920000001788139,"[0.066, 0.114]",0.0134529042847783,165674
refactor_growthfix,voluntary_exit,lightgbm,41,0.0772758945822715,0.7928921906959574,"[0.7919, 0.7940]",0.8479999899864197,"[0.820, 0.882]",0.351202305094146,3779912
refactor_growthfix,voluntary_exit,logistic,41,0.0772758945822715,0.7703665911042183,"[0.7691, 0.7715]",0.2960000038146972,"[0.250, 0.344]",0.3103686395565381,3779912
refactor_growthfix,voluntary_exit,mlp,41,0.0772758945822715,0.7811426350285013,"[0.7801, 0.7823]",0.6819999814033508,"[0.638, 0.724]",0.3382436179420283,3779912
refactor_growthfix,growth,lightgbm,27,0.0213706418871879,0.7610634884432775,"[0.7593, 0.7630]",0.1940000057220459,"[0.156, 0.228]",0.0572428530565207,610789
refactor_growthfix,growth,logistic,27,0.0213706418871879,0.7324270268451335,"[0.7302, 0.7345]",0.1019999980926513,"[0.078, 0.130]",0.0469409753388788,610789
refactor_growthfix,growth,mlp,27,0.0213706418871879,0.7015777832921614,"[0.6994, 0.7037]",0.1059999987483024,"[0.082, 0.136]",0.0438472768942262,610789
