tag,created_at,git_sha,matrix,n_features,feature_hash,target,model,horizon_m,train_rows,train_positives,base_rate,roc_auc,pr_auc,precision_at_100,precision_at_500,precision_at_1000,roc_auc_lo,roc_auc_hi,precision_at_500_lo,precision_at_500_hi
lender_calib_hi,2026-08-07T17:59:20.904454+00:00,47efea3,data/processed/model_matrix_lender_calib_hi,54,4ba0c29df138,insolvency,mlp,6,165674,15022,0.003293984802439809,0.7398121693327915,0.012225388351181539,0.10000000149011612,0.07000000029802322,0.05400000140070915,0.7349989709705409,0.7444622017178267,0.048,0.094
lender_calib_hi,2026-08-07T17:59:20.904454+00:00,47efea3,data/processed/model_matrix_lender_calib_hi,54,4ba0c29df138,voluntary_exit,lightgbm,6,3779912,343699,0.07727589458227158,0.7926659386482884,0.350608633990382,0.7699999809265137,0.8560000061988831,0.8539999723434448,0.7915394341877129,0.7937233009821812,0.826,0.892
lender_calib_hi,2026-08-07T17:59:20.904454+00:00,47efea3,data/processed/model_matrix_lender_calib_hi,54,4ba0c29df138,voluntary_exit,logistic,6,3779912,343699,0.07727589458227158,0.7693270131084109,0.30977184769191607,0.07999999821186066,0.335999995470047,0.4390000104904175,0.7682557147238406,0.7704352589254067,0.292,0.392
lender_calib_hi,2026-08-07T17:59:20.904454+00:00,47efea3,data/processed/model_matrix_lender_calib_hi,54,4ba0c29df138,voluntary_exit,mlp,6,3779912,343699,0.07727589458227158,0.7769169691592328,0.33039653778207284,0.6200000047683716,0.6859999895095825,0.7670000195503235,0.7758142768562813,0.7779863182776431,0.638,0.724
lender_calib_hi,2026-08-07T17:59:20.904454+00:00,47efea3,data/processed/model_matrix_lender_calib_hi,54,4ba0c29df138,growth,lightgbm,12,610789,55564,0.021370641887187958,0.7615625642882087,0.05745071646907646,0.25999999046325684,0.21199999749660492,0.18299999833106995,0.759729016964068,0.7635636478504746,0.176,0.242
lender_calib_hi,2026-08-07T17:59:20.904454+00:00,47efea3,data/processed/model_matrix_lender_calib_hi,54,4ba0c29df138,growth,logistic,12,610789,55564,0.021370641887187958,0.7382223969498902,0.047879630479542065,0.11999999731779099,0.15199999511241913,0.1420000046491623,0.736280374952491,0.7401837565482919,0.12,0.182
lender_calib_hi,2026-08-07T17:59:20.904454+00:00,47efea3,data/processed/model_matrix_lender_calib_hi,54,4ba0c29df138,growth,mlp,12,610789,55564,0.021370641887187958,0.6959406792609455,0.04326918377957688,0.05999999865889549,0.09000000357627869,0.10700000077486038,0.6937792349980203,0.6981823679670282,0.066,0.116
lender_calib_lo,2026-08-07T20:19:34.862776+00:00,47efea3,data/processed/model_matrix_lender_calib_lo,54,4ba0c29df138,lending,lightgbm,3,214708,19624,0.0027111421804875135,0.8822983419908419,0.06782087222083583,0.5400000214576721,0.4059999883174896,0.2759999930858612,0.8780855081995192,0.8864944769051721,0.35995,0.454
lender_calib_lo,2026-08-07T20:19:34.862776+00:00,47efea3,data/processed/model_matrix_lender_calib_lo,54,4ba0c29df138,lending,logistic,3,214708,19624,0.0027111421804875135,0.8684618418418151,0.04610509522260887,0.1899999976158142,0.18000000715255737,0.17399999499320984,0.8638929506262888,0.8729257226606361,0.148,0.21804999999999997
lender_calib_lo,2026-08-07T20:19:34.862776+00:00,47efea3,data/processed/model_matrix_lender_calib_lo,54,4ba0c29df138,lending,mlp,3,214708,19624,0.0027111421804875135,0.8749097004250065,0.06212854695542595,0.4000000059604645,0.32600000500679016,0.25200000405311584,0.8704011691051928,0.8794153129368939,0.278,0.364
