CompanyNumber,grant_has_any,grant_n_organisations,grant_n_projects,grant_max_confidence,grant_min_confidence,grant_match_method,grant_source_date,grant_has_date
00489976,1,1,1,0.8,0.8,name_postcode_area,2026-08-11,0
00495735,1,1,2,0.9,0.9,name_postcode,2026-08-11,0
00497733,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00498430,1,1,0,0.9,0.9,name_postcode,2026-08-11,0
00498619,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00500802,1,2,2,0.9,0.9,name_postcode,2026-08-11,0
00502926,1,1,1,0.8,0.8,name_postcode_area,2026-08-11,0
00503668,1,2,28,0.9,0.9,name_postcode,2026-08-11,0
00503682,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00506170,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00506275,1,1,2,0.9,0.9,name_postcode,2026-08-11,0
00507652,1,1,0,0.9,0.9,name_postcode,2026-08-11,0
00507937,1,2,2,0.9,0.9,name_postcode,2026-08-11,0
00509018,1,2,11,0.9,0.9,name_postcode,2026-08-11,0
00509133,1,1,2,0.9,0.9,name_postcode,2026-08-11,0
00509579,1,1,3,0.9,0.9,name_postcode,2026-08-11,0
00510618,1,2,17,0.9,0.9,name_postcode,2026-08-11,0
00511709,1,4,843,0.9,0.9,name_postcode,2026-08-11,0
00512225,1,2,1,0.8,0.8,name_postcode_area,2026-08-11,0
00513537,1,1,1,0.8,0.8,name_postcode_area,2026-08-11,0
00514290,1,1,0,0.9,0.9,name_postcode,2026-08-11,0
00517211,1,3,6,0.9,0.9,name_postcode,2026-08-11,0
00517382,1,2,1,0.8,0.8,name_postcode_area,2026-08-11,0
00518142,1,2,9,0.9,0.9,name_postcode,2026-08-11,0
00519057,1,2,2,0.9,0.9,name_postcode,2026-08-11,0
00519347,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00519472,1,1,0,0.9,0.9,name_postcode,2026-08-11,0
00524837,1,1,0,0.9,0.9,name_postcode,2026-08-11,0
00525615,1,1,2,0.9,0.9,name_postcode,2026-08-11,0
00526209,1,1,12,0.9,0.9,name_postcode,2026-08-11,0
00526832,1,2,1,0.9,0.8,name_postcode|name_postcode_area,2026-08-11,0
00529086,1,1,6,0.9,0.9,name_postcode,2026-08-11,0
00534147,1,1,4,0.9,0.9,name_postcode,2026-08-11,0
00535664,1,1,5,0.9,0.9,name_postcode,2026-08-11,0
00539193,1,1,0,0.9,0.9,name_postcode,2026-08-11,0
00541377,1,1,0,0.9,0.9,name_postcode,2026-08-11,0
00541560,1,2,6,0.9,0.9,name_postcode,2026-08-11,0
00542108,1,1,2,0.9,0.9,name_postcode,2026-08-11,0
00542515,1,1,55,0.9,0.9,name_postcode,2026-08-11,0
00543552,1,1,2,0.9,0.9,name_postcode,2026-08-11,0
00543805,1,1,2,0.9,0.9,name_postcode,2026-08-11,0
00547495,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00549576,1,1,2,0.9,0.9,name_postcode,2026-08-11,0
00549824,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00550926,1,2,2,0.9,0.9,name_postcode,2026-08-11,0
00551460,1,1,0,0.9,0.9,name_postcode,2026-08-11,0
00556299,1,2,2,0.9,0.9,name_postcode,2026-08-11,0
00556493,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00557613,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00559784,1,3,516,0.9,0.9,name_postcode,2026-08-11,0
00560972,1,1,2,0.9,0.9,name_postcode,2026-08-11,0
00561597,1,2,4,0.9,0.9,name_postcode,2026-08-11,0
00562740,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00563161,1,2,2,0.9,0.9,name_postcode,2026-08-11,0
00564955,1,1,8,0.9,0.9,name_postcode,2026-08-11,0
00566694,1,1,0,0.9,0.9,name_postcode,2026-08-11,0
00567232,1,1,17,0.9,0.9,name_postcode,2026-08-11,0
00570345,1,2,7,0.9,0.9,name_postcode,2026-08-11,0
00571546,1,2,12,0.9,0.9,name_postcode,2026-08-11,0
00576760,1,1,4,0.9,0.9,name_postcode,2026-08-11,0
00581158,1,1,10,0.9,0.9,name_postcode,2026-08-11,0
00584792,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00585852,1,2,5,0.9,0.9,name_postcode,2026-08-11,0
00585969,1,2,1,0.9,0.9,name_postcode,2026-08-11,0
00592700,1,1,4,0.9,0.9,name_postcode,2026-08-11,0
00592720,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00594845,1,1,3,0.9,0.9,name_postcode,2026-08-11,0
00597683,1,2,6,0.9,0.9,name_postcode,2026-08-11,0
00598443,1,1,0,0.9,0.9,name_postcode,2026-08-11,0
00599506,1,1,2,0.9,0.9,name_postcode,2026-08-11,0
00603238,1,1,3,0.9,0.9,name_postcode,2026-08-11,0
00604352,1,2,19,0.9,0.9,name_postcode,2026-08-11,0
00604606,1,1,2,0.9,0.9,name_postcode,2026-08-11,0
00605496,1,1,2,0.9,0.9,name_postcode,2026-08-11,0
00606481,1,2,2,0.9,0.9,name_postcode,2026-08-11,0
00607374,1,1,1,0.8,0.8,name_postcode_area,2026-08-11,0
00608345,1,1,2,0.9,0.9,name_postcode,2026-08-11,0
00614228,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00615539,1,1,4,0.9,0.9,name_postcode,2026-08-11,0
00615993,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00617869,1,1,6,0.9,0.9,name_postcode,2026-08-11,0
00617987,1,1,3,0.9,0.9,name_postcode,2026-08-11,0
00620485,1,2,10,0.9,0.8,name_postcode|name_postcode_area,2026-08-11,0
00621017,1,1,3,0.9,0.9,name_postcode,2026-08-11,0
00621497,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00621647,1,1,3,0.9,0.9,name_postcode,2026-08-11,0
00626216,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00629814,1,1,6,0.9,0.9,name_postcode,2026-08-11,0
00631825,1,1,2,0.9,0.9,name_postcode,2026-08-11,0
00632512,1,1,2,0.9,0.9,name_postcode,2026-08-11,0
00634143,1,2,2,0.9,0.9,name_postcode,2026-08-11,0
00635283,1,2,2,0.9,0.9,name_postcode,2026-08-11,0
00635311,1,1,0,0.9,0.9,name_postcode,2026-08-11,0
00637839,1,1,2,0.9,0.9,name_postcode,2026-08-11,0
00637941,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00640305,1,1,5,0.9,0.9,name_postcode,2026-08-11,0
00643047,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00644260,1,2,6,0.9,0.9,name_postcode,2026-08-11,0
00647234,1,2,2,0.9,0.9,name_postcode,2026-08-11,0
00651504,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00653331,1,3,15,0.9,0.9,name_postcode,2026-08-11,0
00658390,1,4,14,0.9,0.9,name_postcode,2026-08-11,0
00660831,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00665376,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00667762,1,1,2,0.9,0.9,name_postcode,2026-08-11,0
00667980,1,5,6,0.9,0.9,name_postcode,2026-08-11,0
00671254,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00671801,1,1,1,0.8,0.8,name_postcode_area,2026-08-11,0
00673483,1,2,2,0.9,0.9,name_postcode,2026-08-11,0
00674029,1,1,3,0.9,0.9,name_postcode,2026-08-11,0
00675320,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00676617,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00677665,1,2,13,0.9,0.9,name_postcode,2026-08-11,0
00679848,1,1,3,0.8,0.8,name_postcode_area,2026-08-11,0
00680511,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00680990,1,1,2,0.9,0.9,name_postcode,2026-08-11,0
00683842,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00684985,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00685303,1,2,3,0.9,0.9,name_postcode,2026-08-11,0
00685993,1,1,0,0.9,0.9,name_postcode,2026-08-11,0
00688424,1,1,20,0.9,0.9,name_postcode,2026-08-11,0
00688439,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00690479,1,1,0,0.9,0.9,name_postcode,2026-08-11,0
00690597,1,7,33,0.9,0.9,name_postcode,2026-08-11,0
00691403,1,1,2,0.9,0.9,name_postcode,2026-08-11,0
00705031,1,1,31,0.9,0.9,name_postcode,2026-08-11,0
00706511,1,2,1,0.9,0.9,name_postcode,2026-08-11,0
00706645,1,1,3,0.9,0.9,name_postcode,2026-08-11,0
00708818,1,1,3,0.9,0.9,name_postcode,2026-08-11,0
00711858,1,1,38,0.9,0.9,name_postcode,2026-08-11,0
00713086,1,1,1,0.8,0.8,name_postcode_area,2026-08-11,0
00718480,1,1,1,0.8,0.8,name_postcode_area,2026-08-11,0
00718569,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00720284,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00722004,1,2,2,0.9,0.9,name_postcode,2026-08-11,0
00731811,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00733218,1,1,7,0.9,0.9,name_postcode,2026-08-11,0
00738693,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00741326,1,1,4,0.9,0.9,name_postcode,2026-08-11,0
00741360,1,1,1,0.9,0.9,name_postcode,2026-08-11,0
00745917,1,1,53,0.9,0.9,name_postcode,2026-08-11,0
00746934,1,1,3,0.9,0.9,name_postcode,2026-08-11,0
00752572,1,1,2,0.9,0.9,name_postcode,2026-08-11,0
