CompanyNumber,CompanyName,best_target,best_rank,best_score,sector,post_town,raw_hits,n_verified,fetch
09735009,FLYFORM LTD,growth,14,0.4055246086541109,Fast growth & emerging,CARDIFF,0,0,cache
16391550,FORRUNNER LTD,voluntary_exit,76,0.9161933840127096,Fast growth & emerging,CROYDON,0,0,cache
16385728,HALIFAX RECRUITMENT LTD,voluntary_exit,11,0.9161933840127096,Fast growth & emerging,HALIFAX,0,0,cache
07510381,KERV DIGITAL LIMITED,growth,70,0.3031237234604187,Fast growth & emerging,LONDON,0,0,cache
16384388,KEYSSETECH LTD,voluntary_exit,42,0.9161933840127096,Fast growth & emerging,LONDON,0,0,cache
07263317,KHAN CONSULTING LTD,insolvency,95,0.172810073087695,"Technology, legal & professional",MANCHESTER,0,0,cache
08397116,MASTER-CLOUD LTD.,insolvency,90,0.1756556471358713,"Technology, legal & professional",MANCHESTER,0,0,cache
03113620,MAYCAST-NOKES PRECISION ENGINEERING LTD,growth,83,0.2904257630729886,Manufacturing,ESSEX,0,0,cache
09609828,MBA TRAINING AND CONSULTANCY LIMITED,insolvency,13,0.4183750593916329,"Technology, legal & professional",CODDENHAM,0,0,cache
09668542,OLIVE JAR DIGITAL LTD,growth,30,0.3625551768417824,Fast growth & emerging,LONDON,0,0,cache
16390539,ORBINEX VAULT LTD,voluntary_exit,97,0.9161933840127096,Fast growth & emerging,LONDON,0,0,cache
05590174,RED PLANET PICTURES LIMITED,lending,98,0.3581826067056903,"Technology, legal & professional",LONDON,0,0,cache
16392057,SK NEXUS LTD,voluntary_exit,94,0.9161933840127096,Fast growth & emerging,LONDON,0,0,cache
11253470,SKEWB LTD,growth,17,0.3974263005618352,Fast growth & emerging,WARWICK,0,0,cache
02178783,TOWER PENSION TRUSTEES LIMITED,lending,13,0.4750456307395876,Fast growth & emerging,SALISBURY,0,0,cache
05728557,WATTS GROUP LIMITED,growth,2,0.4900871788163192,"Technology, legal & professional",LONDON,16,0,cache
12944003,WBR GROUP LIMITED,growth,60,0.3099049745668187,"Technology, legal & professional",LEICESTER,0,0,cache
12783424,WBR TRUSTEES LIMITED,lending,69,0.3830208130560013,"Technology, legal & professional",LEICESTER,0,0,cache
09520069,WEBSNIPS LTD,insolvency,43,0.2359117566633274,Fast growth & emerging,LONDON,0,0,cache
11844897,WEDO BUSINESS FINANCE LTD,lending,96,0.3594305668577707,"Technology, legal & professional",OLDHAM,0,0,cache
13963121,WESTWOOD CAPITAL FINANCE LIMITED,lending,42,0.4072618491705129,"Technology, legal & professional",BRIDLINGTON,0,0,cache
11691487,A.S.K. PARTNERS AGENT LIMITED,lending,31,0.4277911374656856,Fast growth & emerging,LONDON,0,0,cache
10419810,A.S.K. PARTNERS LIMITED,lending,10,0.4895216483755207,Fast growth & emerging,LONDON,0,0,cache
14505959,ABERGAVENNY FOOD AND WINES LTD,growth,77,0.2981246952017927,Manufacturing,ABERGAVENNY,0,0,cache
13500563,BLACKCAT NETWORKS LTD,insolvency,48,0.2250611575766935,Fast growth & emerging,HEMEL HEMPSTEAD,0,0,cache
