CompanyNumber,prop_has_any,prop_count_total,prop_count_12m,prop_first_date,prop_latest_date,prop_days_since_latest,prop_value_total,prop_value_max,prop_value_count,prop_types,prop_match_method,prop_max_confidence,prop_min_confidence
02628220,1,2,0,2009-04-07,2009-04-29,6272,,,0,property_title,company_number,1.0,1.0
02628380,1,1,0,1991-10-17,1991-10-17,12676,,,0,property_title,company_number,1.0,1.0
02628540,1,1,0,2012-03-27,2012-03-27,5209,,,0,property_title,company_number,1.0,1.0
02628927,1,1,0,2008-02-08,2008-02-08,6718,372000.0,372000.0,1,property_title,company_number,1.0,1.0
02629112,1,1,0,2007-09-26,2007-09-26,6853,,,0,property_title,company_number,1.0,1.0
02629250,1,3,0,2018-02-05,2018-10-10,2821,203000.0,73000.0,3,property_title,company_number,1.0,1.0
02629314,1,1,0,2025-01-15,2025-01-15,532,,,0,property_title,company_number,1.0,1.0
02629365,1,2,0,2008-01-31,2010-02-18,5977,,,0,property_title,company_number,1.0,1.0
02629445,1,2,1,2009-10-07,2025-09-08,296,,,0,property_title,company_number,1.0,1.0
02629533,1,1,0,2003-04-17,2003-04-17,8476,,,0,property_title,company_number,1.0,1.0
02629677,1,1,0,2001-03-26,2001-03-26,9228,,,0,property_title,company_number,1.0,1.0
02630029,1,3,0,2016-01-07,2018-03-26,3019,,,0,property_title,company_number,1.0,1.0
02630106,1,1,0,2000-05-02,2000-05-02,9556,,,0,property_title,company_number,1.0,1.0
02630165,1,3,0,1996-05-13,2024-04-19,803,,,0,property_title,company_number,1.0,1.0
02630203,1,1888,63,1993-10-01,2026-06-16,15,241113155.0,6876000.0,598,property_title,company_number,1.0,1.0
02630471,1,13,0,1995-04-10,2005-08-05,7635,,,0,property_title,company_number,1.0,1.0
02630475,1,1,0,1999-07-02,1999-07-02,9861,,,0,property_title,company_number,1.0,1.0
02630764,1,2,0,2012-06-27,2017-10-18,3178,6700339.0,6700339.0,1,property_title,company_number,1.0,1.0
02630863,1,78,0,1992-01-23,2021-01-08,2000,660000.0,660000.0,1,property_title,company_number,1.0,1.0
02630938,1,2,0,2002-01-04,2002-01-04,8944,,,0,property_title,company_number,1.0,1.0
02631070,1,1,0,2020-01-30,2020-01-30,2344,2600000.0,2600000.0,1,property_title,company_number,1.0,1.0
02631230,1,1,0,2022-11-09,2022-11-09,1330,,,0,property_title,company_number,1.0,1.0
02631268,1,2,0,2012-06-07,2023-11-09,965,,,0,property_title,company_number,1.0,1.0
02631366,1,1,0,2007-10-11,2007-10-11,6838,,,0,property_title,company_number,1.0,1.0
02631530,1,1,0,2017-06-08,2017-06-08,3310,,,0,property_title,company_number,1.0,1.0
02631536,1,1,0,2014-05-09,2014-05-09,4436,,,0,property_title,company_number,1.0,1.0
02631692,1,1,0,2007-06-25,2007-06-25,6946,,,0,property_title,company_number,1.0,1.0
02631793,1,1,0,2017-08-10,2017-08-10,3247,,,0,property_title,company_number,1.0,1.0
02632020,1,73,0,2013-12-30,2025-06-18,378,174450.0,135000.0,3,property_title,company_number,1.0,1.0
02632265,1,1,0,2005-03-24,2005-03-24,7769,,,0,property_title,company_number,1.0,1.0
02632578,1,1,0,2024-04-03,2024-04-03,819,,,0,property_title,company_number,1.0,1.0
02632608,1,1,0,1991-12-02,1991-12-02,12630,,,0,property_title,company_number,1.0,1.0
02632823,1,1,0,2017-08-21,2017-08-21,3236,,,0,property_title,company_number,1.0,1.0
02632883,1,1,0,2024-01-22,2024-01-22,891,,,0,property_title,company_number,1.0,1.0
02633303,1,2,0,2003-12-18,2021-08-23,1773,,,0,property_title,company_number,1.0,1.0
02633421,1,1,0,1992-02-27,1992-02-27,12543,,,0,property_title,company_number,1.0,1.0
02633463,1,5,0,2008-02-29,2015-11-30,3866,,,0,property_title,company_number,1.0,1.0
02633793,1,2,0,1999-03-24,1999-03-24,9961,,,0,property_title,company_number,1.0,1.0
02633844,1,6,0,2001-01-25,2021-11-05,1699,1003000.0,768000.0,2,property_title,company_number,1.0,1.0
02633918,1,1,0,1991-12-31,1991-12-31,12601,,,0,property_title,company_number,1.0,1.0
